,Category,Distance,Radian
392,veggiecabbage,0.16949999999999998,0.816
393,veggiecabbage,0.21550000000000002,-0.45
394,veggiecabbage,0.328,2.297
395,veggiecabbage,0.30000000000000004,2.688
396,veggiecabbage,0.2400000000000001,1.983
397,veggiecabbage,0.15649999999999997,-1.113
398,veggiecabbage,0.35450000000000004,-0.511
399,veggiecabbage,0.11599999999999999,-0.995
400,veggiecabbage,0.20700000000000007,-0.86
401,veggiecabbage,0.3335000000000001,2.404
402,veggiecabbage,0.2635,2.678
403,veggiecabbage,0.22950000000000004,-0.312
404,veggiecabbage,0.17050000000000004,1.761
405,veggiecabbage,0.267,3.024
406,veggiecabbage,0.272,-0.334
407,veggiecabbage,0.34400000000000003,-1.448
408,veggiecabbage,0.17150000000000004,-0.52
409,veggiecabbage,0.2530000000000001,-2.73
410,veggiecabbage,0.17850000000000005,-2.98
411,veggiecabbage,0.3320000000000001,2.796
412,veggiecabbage,0.2705,1.899
413,veggiecabbage,0.12450000000000006,-0.114
414,veggiecabbage,0.06400000000000006,-0.047
415,veggiecabbage,0.22050000000000003,-2.94
416,veggiecabbage,0.24050000000000005,2.831
417,veggiecabbage,0.122,1.011
418,veggiecabbage,0.2445,2.975
419,veggiecabbage,0.21399999999999997,2.484
420,veggiecabbage,0.22550000000000003,-0.18
421,veggiecabbage,0.39050000000000007,-1.527
422,veggiecabbage,0.25,2.206
423,veggiecabbage,0.16100000000000003,-1.642
424,veggiecabbage,0.2705,-0.228
425,veggiecabbage,0.31450000000000006,-2.721
426,veggiecabbage,0.2400000000000001,-0.63
427,veggiecabbage,0.2025,-0.011
428,veggiecabbage,0.22100000000000009,1.754
429,veggiecabbage,0.341,-1.25
430,veggiecabbage,0.2470000000000001,-1.658
431,veggiecabbage,0.267,1.284
432,veggiecabbage,0.2025,-2.917
433,veggiecabbage,0.335,1.776
434,veggiecabbage,0.16700000000000004,-1.259
435,veggiecabbage,0.23650000000000004,-0.072
436,veggiecabbage,0.23650000000000004,-2.869
437,veggiecabbage,0.17550000000000004,0.811
438,veggiecabbage,0.16300000000000003,1.434
439,veggiecabbage,0.251,-2.114
440,veggiecabbage,0.259,1.194
441,veggiecabbage,0.279,2.813
442,veggiecabbage,0.281,-1.414
443,veggiecabbage,0.1925,3.105
444,veggiecabbage,0.327,-2.745
445,veggiecabbage,0.21400000000000008,-1.851
446,veggiecabbage,0.22599999999999998,-1.099
447,veggiecabbage,0.2775,0.222
448,veggiecabbage,0.22399999999999998,1.069
449,veggiecabbage,0.2475,2.558
450,veggiecabbage,0.2895,1.646
451,veggiecabbage,0.13700000000000012,0.96
452,veggiecabbage,0.2795000000000001,2.495
453,veggiecabbage,0.23250000000000004,-2.538
454,veggiecabbage,0.22950000000000004,-2.509
455,veggiecabbage,0.2645,-2.248
456,veggiecabbage,0.16600000000000004,-0.326
457,veggiecabbage,0.1975,-0.136
458,veggiecabbage,0.22699999999999998,-0.643
