,Action,Movable,Surface,x,y,z,yaw,dx,run_name
115,pick,veggietomato,box,0.31699999999999995,0.09299999999999997,0.07700000000000018,1.328,0.061000000000000054,/_gmm/750
116,pick,veggietomato,box,0.289,0.238,0.07700000000000018,1.537,0.11450000000000005,/_gmm/754
117,pick,veggietomato,box,0.34600000000000003,0.09199999999999997,0.07700000000000018,1.48,0.05800000000000005,/_gmm/762
118,pick,veggietomato,box,0.337,-0.13500000000000023,0.07700000000000018,1.313,0.06700000000000006,/_gmm/774
119,pick,veggietomato,box,0.28200000000000003,0.02200000000000002,0.07700000000000018,0.532,0.09599999999999997,/_gmm/777
120,pick,veggietomato,box,0.27299999999999996,0.4790000000000001,0.07700000000000018,2.311,0.13050000000000006,/_gmm/779
121,pick,veggietomato,box,0.289,0.009000000000000008,0.07700000000000018,2.421,0.11450000000000005,/_gmm/784
122,pick,veggietomato,box,0.281,0.7389999999999999,0.07700000000000018,0.958,0.09699999999999998,/_gmm/790
123,pick,veggietomato,box,0.24,-0.32400000000000007,0.07700000000000018,1.844,0.138,/_gmm/791
124,pick,veggietomato,box,0.22600000000000003,0.020999999999999908,0.07600000000000007,1.242,0.07150000000000001,/_gmm/796
125,pick,veggietomato,box,0.2889999999999999,0.2079999999999993,0.07700000000000018,0.639,0.08900000000000008,/_gmm/798
126,pick,veggietomato,box,0.24,-0.041999999999999815,0.07700000000000018,0.218,0.14050000000000007,/_gmm/805
127,pick,veggietomato,box,0.22899999999999998,0.21800000000000042,0.07700000000000018,0.116,0.14900000000000002,/_gmm/806
128,pick,veggietomato,box,0.262,-0.21200000000000063,0.07700000000000018,1.463,0.11850000000000005,/_gmm/808
129,pick,veggietomato,box,0.273,-0.032999999999999474,0.07700000000000018,2.36,0.10499999999999998,/_gmm/812
130,pick,veggietomato,box,0.26299999999999996,0.20699999999999985,0.07700000000000018,0.236,0.14050000000000007,/_gmm/832
131,pick,veggietomato,box,0.189,0.4220000000000006,0.07600000000000007,3.057,0.10850000000000004,/_gmm/837
132,pick,veggietomato,box,0.302,-0.19700000000000006,0.07700000000000018,0.954,0.10150000000000003,/_gmm/838
133,pick,veggietomato,box,0.26899999999999996,0.07499999999999929,0.07700000000000018,2.358,0.13500000000000012,/_gmm/839
134,pick,veggietomato,box,0.18799999999999994,-0.32299999999999995,0.07700000000000018,2.701,0.19000000000000006,/_gmm/840
135,pick,veggietomato,box,0.30099999999999993,-0.14699999999999935,0.07700000000000018,0.344,0.07700000000000007,/_gmm/852
136,pick,veggietomato,box,0.303,0.595,0.07700000000000018,2.551,0.10050000000000003,/_gmm/855
137,pick,veggietomato,box,0.303,-0.2789999999999999,0.07700000000000018,1.178,0.10050000000000003,/_gmm/863
